Campaign_ID,Campaign_Name,Channel,Date,Impressions,Clicks,Conversions,Cost/Ad Spend,Revenue Generated,Customer Acquired,Region,Audience Segment
CMP_001,Twitter - Promo 1,Twitter,2025-01-01,6527,378,19,193.27,1837.63,18,Middle East,Professionals
CMP_002,Twitter - Promo 2,Twitter,2025-01-01,20617,293,21,122.4,2683.9,17,North America,Students
CMP_007,Email - Promo 7,Email,2025-01-01,8071,245,31,1141.55,2907.84,26,Middle East,Young Adults
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-01,9823,276,39,1022.65,511.01,33,North America,Young Adults
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-01-02,11299,492,62,1252.56,12321.14,57,Latin America,Professionals
CMP_005,Instagram - Promo 5,Instagram,2025-01-03,10052,242,36,149.02,6927.8,32,Middle East,Professionals
CMP_009,Facebook - Promo 9,Facebook,2025-01-03,16104,638,39,2525.78,1576.56,33,Asia-Pacific,Retirees
CMP_019,Google Ads - Promo 19,Google Ads,2025-01-03,20911,307,40,2306.86,3153.2,32,Latin America,Young Adults
CMP_019,Google Ads - Promo 19,Google Ads,2025-01-03,17135,263,45,1122.89,3133.45,40,Latin America,Students
CMP_010,Instagram - Promo 10,Instagram,2025-01-04,9204,283,30,870.1,3299.74,27,Latin America,General
CMP_012,Twitter - Promo 12,Twitter,2025-01-04,13283,789,96,2924.09,4774.44,88,Europe,Professionals
CMP_017,Google Ads - Promo 17,Google Ads,2025-01-04,24206,538,19,3511.09,1030.3,15,Latin America,Professionals
CMP_001,Twitter - Promo 1,Twitter,2025-01-05,8847,654,32,362.7,2711.03,26,Asia-Pacific,Young Adults
CMP_012,Twitter - Promo 12,Twitter,2025-01-06,12101,600,56,2430.03,3493.99,49,Middle East,General
CMP_014,Twitter - Promo 14,Twitter,2025-01-06,10125,458,36,2291.7,3519.63,29,Middle East,Professionals
CMP_020,Instagram - Promo 20,Instagram,2025-01-06,8925,332,19,1989.26,1312.0,15,Latin America,Young Adults
CMP_013,Google Ads - Promo 13,Google Ads,2025-01-07,13306,431,12,2060.54,1555.25,9,Europe,Students
CMP_017,Google Ads - Promo 17,Google Ads,2025-01-07,20846,411,12,2137.86,1192.58,10,North America,Students
CMP_020,Instagram - Promo 20,Instagram,2025-01-07,7247,301,21,2162.31,1749.21,17,North America,Students
CMP_004,Email - Promo 4,Email,2025-01-08,15068,1114,29,3838.68,7300.24,26,Middle East,Retirees
CMP_005,Instagram - Promo 5,Instagram,2025-01-08,7598,221,31,145.37,5732.7,28,Europe,Young Adults
CMP_005,Instagram - Promo 5,Instagram,2025-01-08,9443,266,35,137.08,5838.27,28,Europe,Young Adults
CMP_009,Facebook - Promo 9,Facebook,2025-01-08,19485,641,48,2575.12,2787.55,47,Latin America,Professionals
CMP_010,Instagram - Promo 10,Instagram,2025-01-08,9020,238,33,785.71,3785.17,31,Asia-Pacific,Young Adults
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-01-09,10537,449,49,901.54,11838.57,44,Latin America,Students
CMP_011,Facebook - Promo 11,Facebook,2025-01-09,11182,316,17,488.72,3242.48,14,Europe,Young Adults
CMP_019,Google Ads - Promo 19,Google Ads,2025-01-09,10172,189,20,1083.06,959.06,18,Asia-Pacific,Professionals
CMP_006,Instagram - Promo 6,Instagram,2025-01-10,22554,1308,137,5167.96,16212.14,127,Middle East,Students
CMP_013,Google Ads - Promo 13,Google Ads,2025-01-10,17706,672,21,3219.44,2092.31,19,Middle East,Students
CMP_018,Email - Promo 18,Email,2025-01-10,8126,695,72,4467.61,6166.99,62,Europe,General
CMP_008,Facebook - Promo 8,Facebook,2025-01-11,14401,201,10,391.73,302.15,9,North America,General
CMP_014,Twitter - Promo 14,Twitter,2025-01-11,9595,558,31,2696.92,2791.47,29,North America,General
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-11,10174,238,31,1157.9,742.79,30,North America,Young Adults
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-11,10882,314,54,1336.8,998.76,49,Latin America,Retirees
CMP_018,Email - Promo 18,Email,2025-01-11,7276,474,39,3133.77,2103.64,37,Latin America,Retirees
CMP_006,Instagram - Promo 6,Instagram,2025-01-12,14884,727,100,3020.57,11144.37,95,Middle East,Retirees
CMP_007,Email - Promo 7,Email,2025-01-12,6566,173,16,799.18,1566.58,12,Middle East,General
CMP_011,Facebook - Promo 11,Facebook,2025-01-12,11043,301,25,523.54,4590.32,20,Asia-Pacific,General
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-12,15160,385,73,1932.55,1084.21,63,North America,Retirees
CMP_005,Instagram - Promo 5,Instagram,2025-01-13,10676,319,40,230.87,8991.53,35,North America,Professionals
CMP_006,Instagram - Promo 6,Instagram,2025-01-13,19511,934,110,3200.71,14821.66,98,Asia-Pacific,Young Adults
CMP_009,Facebook - Promo 9,Facebook,2025-01-13,17094,559,42,2140.86,2378.89,39,Asia-Pacific,Professionals
CMP_012,Twitter - Promo 12,Twitter,2025-01-13,20244,1309,151,5288.2,8191.46,126,Asia-Pacific,Retirees
CMP_014,Twitter - Promo 14,Twitter,2025-01-13,6950,432,29,2061.64,2675.5,27,Europe,Students
CMP_017,Google Ads - Promo 17,Google Ads,2025-01-13,19839,364,12,1963.46,977.64,10,Asia-Pacific,Young Adults
CMP_019,Google Ads - Promo 19,Google Ads,2025-01-13,20111,354,47,1603.59,3522.57,40,Latin America,Professionals
CMP_008,Facebook - Promo 8,Facebook,2025-01-14,15076,180,11,346.09,401.24,9,North America,Professionals
CMP_009,Facebook - Promo 9,Facebook,2025-01-14,21305,883,89,3564.55,4645.17,75,Latin America,Professionals
CMP_012,Twitter - Promo 12,Twitter,2025-01-14,11262,625,74,2438.2,4031.68,60,Latin America,Young Adults
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-14,15092,393,57,1827.74,780.28,47,Asia-Pacific,General
CMP_005,Instagram - Promo 5,Instagram,2025-01-15,11811,249,21,176.83,4269.26,17,Latin America,Young Adults
CMP_018,Email - Promo 18,Email,2025-01-15,11860,902,72,7110.91,6403.71,69,North America,Students
CMP_019,Google Ads - Promo 19,Google Ads,2025-01-15,17476,322,45,1694.93,4081.15,44,Asia-Pacific,General
CMP_020,Instagram - Promo 20,Instagram,2025-01-15,4455,167,11,1312.38,1220.66,10,Europe,Professionals
CMP_002,Twitter - Promo 2,Twitter,2025-01-16,16689,304,24,116.83,2967.92,21,Europe,Professionals
CMP_006,Instagram - Promo 6,Instagram,2025-01-16,18599,1041,125,3644.48,15410.86,105,Europe,General
CMP_006,Instagram - Promo 6,Instagram,2025-01-16,17680,861,81,3195.01,10137.97,76,Latin America,Young Adults
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-16,10425,289,55,1342.18,1196.83,52,Europe,General
CMP_001,Twitter - Promo 1,Twitter,2025-01-17,4942,276,12,254.77,1087.63,9,Asia-Pacific,Retirees
CMP_006,Instagram - Promo 6,Instagram,2025-01-17,14543,616,63,2522.57,6477.23,55,Middle East,Retirees
CMP_014,Twitter - Promo 14,Twitter,2025-01-17,12642,608,40,2983.95,4267.79,38,North America,Young Adults
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-17,11328,250,29,1373.54,562.31,27,Asia-Pacific,Retirees
CMP_017,Google Ads - Promo 17,Google Ads,2025-01-17,23277,530,24,3274.71,1548.55,21,Asia-Pacific,Retirees
